addr_street,number_of_parks
37-20 83 STREET,8
37-21 31 STREET,2
37-29 31 STREET,2
37-33 COLLEGE POINT BOULEVARD,3
37-34 27 STREET,3
37-34 29 STREET,2
37-43 80 STREET,8
37-44 82 STREET,9
37-51-37-55 79 STREET,7
37-52 89 STREET,4
37-55 81 STREET,8
37-75 63 STREET,10
37-75 64 STREET,9
37-76 62 STREET,10
370 1 AVENUE,7
370 EAST 23 STREET,1
370 EAST 31 STREET,2
370 MENAHAN STREET,5
371 BAY RIDGE PARKWAY,1
371 HOYT STREET,8
371 MADISON STREET,14
371 MARION STREET,7
371 PALMETTO STREET,7
371 WADSWORTH AVENUE,11
372 5 AVENUE,2
372 CENTRAL PARK WEST,11
372 KOSCIUSZKO STREET,6
372 LAFAYETTE AVENUE,5
372 NEW YORK AVENUE,2
373 5 AVENUE,2
373 96 STREET,6
373 MENAHAN STREET,5
373 MONROE STREET,5
373 SOUTH 5 STREET,10
373 TOMPKINS AVENUE,4
373 WYTHE AVENUE,8
374 5 AVENUE,3
374 7 STREET,1
374 8 STREET,6
374 94 STREET,7
374 CORNELIA STREET,4
374 HARMAN STREET,5
374A 8 STREET,6
375 13 STREET,8
375 76 STREET,1
375 BROOME STREET,14
375 SOUTH END AVENUE,20
376 8 STREET,6
376 ADELPHI STREET,10
376 BOND STREET,9
376 BROADWAY,18
376 FRANKLIN AVENUE,6
3761 BROADWAY,10
3765 18 AVENUE,0
377 EAST 33 STREET,3
377 RECTOR PLACE,20
3777 INDEPENDENCE AVENUE,5
378 92 STREET,5
378 93 STREET,6
378 94 STREET,7
378 GRAND AVENUE,7
378 MYRTLE AVENUE,10
378 SOUTH 3 STREET,10
379 EASTERN PARKWAY,3
379 HIMROD STREET,4
379 PACIFIC STREET,8
379 WASHINGTON AVENUE,8
38 8 AVENUE,6
38 AVENUE C,12
38 DELANCEY STREET,14
38 DRIGGS AVENUE,6
38 GROVE STREET,3
38 HALSEY STREET,0
38 LUDLOW STREET,15
38 MESEROLE STREET,9
38 MONROE PLACE,20
38 SEELEY STREET,7
38 SIXTH AVENUE,9
38-01 31 AVENUE,3
38-14 ASTORIA BOULEVARD S,1
38-32 11 STREET,2
380 5 STREET,3
380 HANCOCK STREET,7
380 LENOX AVENUE,10
380 MARCUS GARVEY BLVD,6
380 NEPTUNE AVENUE,3
380 RECTOR PLACE,20
3800 BROADWAY,10
3805 GREYSTONE AVENUE,6
3806 FT HAMILTON PARKWAY,3
3807 GREYSTONE AVENUE,5
381 16 STREET,8
381 LEGION STREET,4
381 ONDERDONK AVENUE,1
381 SOUTH 3 STREET,11
382 3 AVENUE,10
382 CENTRAL PARK WEST,9
382 QUINCY STREET,5
382 SACKETT STREET,5
383 1 STREET,2
383 PROSPECT AVENUE,8
385 1 AVENUE,9
385 3 STREET,3
385 ADELPHI STREET,11
385 SOUTH END AVENUE,20
385 TROUTMAN STREET,2
385 UNION AVENUE,13
3856 BROADWAY,10
388 AVENUE X,2
388 BRIDGE STREET,11
388 SENECA AVENUE,2
389 EAST 89 STREET,2
39 1 AVENUE,14
39 BRUCKNER BOULEVARD,8
39 BUSHWICK AVENUE,1
39 DAHILL ROAD,4
39 DEVOE STREET,13
39 EAST 29 STREET,15
39-11 62 STREET,3
39-19 62 STREET,10
39-20 47 AVENUE,3
39-25 24 STREET,2
39-28 58 STREET,10
39-49 48 AVENUE,1
39-68 57 STREET,9
39-74 47 STREET,9
390 1 AVENUE,7
390 2 STREET,3
390 SOUTH 2 STREET,11
390 WEST END AVENUE,12
390 WYTHE AVENUE,8
3900 GREYSTONE AVENUE,3
391 5 AVENUE,2
391 CONVENT AVENUE,9
3910 SETON AVENUE,3
392 CENTRAL PARK WEST,12
392 CLINTON STREET,9
392 ST MARK'S AVENUE,10
393 4 AVENUE,3
393 WEST 49 STREET,0
393 WEST END AVENUE,12
395 EAST 2 STREET,1
395 EAST 49 STREET,1
395 LEONARD STREET,11
395 SMITH STREET,8
395 SOUTH END AVENUE,20
3950 BLACKSTONE AVENUE,6
396 GRAHAM AVENUE,13
396 WASHINGTON AVENUE,8
3970 NOSTRAND AVENUE,3
398 8 STREET,7
398 GRAHAM AVENUE,14
398 LORIMER STREET,9
398 TOMPKINS AVENUE,5
399 ATLANTIC AVENUE,8
399 DEAN STREET,10
399 EAST 72 STREET,1
4 1 PLACE,7
4 CENTRE MARKET PLACE,18
4 PARK AVENUE,12
4 WATER STREET,18
4 WEST 21 STREET,13
4 WEST 22 STREET,10
4 WEST 83 STREET,3
4-27 27 AVENUE,5
4-74 48 AVENUE,12
40 BROAD STREET,20
40 CATHERINE STREET,6
40 CENTRAL PARK SOUTH,4
40 EAST 61 STREET,6
40 EAST 66 STREET,2
40 EAST 78 STREET,1
40 EAST 89 STREET,3
40 EAST 94 STREET,3
40 GRANITE STREET,6
40 LINDEN BOULEVARD,5
40 MORTON STREET,19
40 NORTH 4 STREET,8
40 OCEANA DRIVE,3
40 SUTTON PLACE,4
40 THAYER STREET,7
40 WALKER STREET,17
40 WATERSIDE PLAZA,7
40 WEST 116 STREET,7
40 WEST 70 STREET,5
40 WEST 76 STREET,3
40 WOODRUFF AVENUE,8
40-04 36 AVENUE,5
40-14 62 STREET,11
40-15 61 STREET,12
40-19 ASTORIA BOULEVARD N,1
40-20 DITMARS BOULEVARD,5
40-21 23 AVENUE,3
40-22 201 STREET,0
40-22 COLLEGE POINT BOULEVARD,3
40-26 COLLEGE POINT BOULEVARD,3
40-28 COLLEGE POINT BOULEVARD,3
40-30 73 STREET,11
40-30 75 STREET,13
40-35 HAMPTON STREET,7
40-40 79 STREET,6
40-45 201 STREET,0
400 5 AVENUE,13
400 5 STREET,3
400 ARGYLE ROAD,0
400 ATLANTIC AVENUE,8
400 CENTRAL PARK WEST,11
400 CHAMBERS STREET,20
400 EAST 17 STREET,0
400 EAST 4 STREET,1
400 EAST 51 STREET,5
400 EAST 54 STREET,17
400 EAST 59 STREET,4
400 EAST 66 STREET,3
400 EAST 67 STREET,2
400 EAST 70 STREET,2
400 EAST 90 STREET,2
400 HERKIMER STREET,7
400 PARK AVENUE SOUTH,13
400 WEST 12 STREET,15
400 WEST 150 STREET,10
400 WEST 25 STREET,11
400 WEST 37 STREET,14
400 WEST 42ND STREET,11
400 WEST 63RD STREET,15
401 AMSTERDAM AVENUE,12
401 EAST 34 STREET,3
401 EAST 68 STREET,2
401 EAST 80 STREET,2
401 EAST 84 STREET,2
401 EAST 89 STREET,2
401 HENRY STREET,14
401 WEST 53 STREET,1
401 WEST 56 STREET,1
401 WEST 57 STREET,2
401 WEST END AVENUE,12
402 2 STREET,3
402 DECATUR STREET,7
402 EAST 11 STREET,15
402 EAST 12 STREET,16
402 EAST 90 STREET,2
402 GRAHAM AVENUE,14
4022 5 AVENUE,5
403 EAST 19 STREET,0
403 EAST 62 STREET,5
403 EAST 69TH STREET,2
404 COURT STREET,10
404 EAST 55 STREET,5
404 EAST 66 STREET,3
404 EAST 73 STREET,1
404 EAST 76 STREET,1
404 EAST 79 STREET,1
404 STOCKHOLM STREET,3
404 UTICA AVENUE,2
405 EAST 54TH STREET,5
405 EAST 6 STREET,13
405 WEST 23 STREET,12
405 WEST 45 STREET,11
405 WESTMINSTER ROAD,0
406 ADELPHI STREET,12
406 CENTRAL PARK WEST,12
406 EAST 64 STREET,4
406 WEST 146 STREET,10
407 14 STREET,9
408 5 AVENUE,2
408 EAST 73 STREET,2
408 EAST 88 STREET,2
408 EAST 92 STREET,2
408 EIGHTH AVENUE,8
408 UTICA AVENUE,2
408 WEST 34 STREET,12
408 WEST 57 STREET,1
41 EAST 30 STREET,15
41 EAST 7 STREET,16
41 HAUSMAN STREET,4
41 KEW GARDENS ROAD,7
41 MADISON STREET,6
41 PARK TERRACE WEST,8
41 RIVER TERRACE,19
41 ST NICHOLAS AVENUE,2
41 WARREN STREET,20
41 WEST 64 STREET,2
41 WEST 68 STREET,3
41 WEST 72 STREET,4
41 WEST 8 STREET,20
41 WEST 86 STREET,2
41 WEST 90 STREET,1
41-00 43 AVENUE,4
41-04 SKILLMAN AVENUE,4
41-06 50 STREET,9
41-07 42 STREET,6
41-10 23 ROAD,1
41-11 161 STREET,2
41-11 31 AVENUE,4
41-14 54 STREET,9
41-15 29 STREET,4
41-15 45 STREET,8
41-16 47 AVENUE,4
41-16 51 STREET,9
41-16 QUEENS BOULEVARD,4
41-17 CRESCENT STREET,5
41-18 27 STREET,4
41-18 43 STREET,6
41-19 31 AVENUE,4
41-19 67 STREET,9
41-27 71 STREET,9
41-29 41 STREET,4
41-30 46 STREET,8
41-40 40 STREET,3
41-41 43 STREET,7
41-41 46 STREET,8
41-43 39 PLACE,3
41-48 40 STREET,3
41-50 63 STREET,11
41-96 GLEANE STREET,4
410 3 STREET,3
410 AVENUE X,1
410 EAST 95 STREET,2
410 EASTERN PARKWAY,1
410 SOUTH 5 STREET,9
410 STATE STREET,9
410 WEST 53 STREET,1
410-412 WEST 22 STREET,12
4102 NEW UTRECHT AVENUE,3
411 100 STREET,7
411 20 STREET,8
411 6 STREET,2
411 99 STREET,7
411 EAST 114 STREET,6
411 EAST 118 STREET,9
411 EAST 53 STREET,5
411 EAST 85 STREET,2
411 EAST 87 STREET,2
411 FAIRVIEW AVENUE,2
411 MANHATTAN AVENUE,15
411 WEST 21 STREET,12
411 WEST 44 STREET,11
411 WEST 45 STREET,12
411 WEST 52 STREET,0
412 17 STREET,10
412 3 STREET,3
412 DEAN STREET,9
412 EAST 140 STREET,12
412 EAST 50 STREET,6
412 EAST 55 STREET,5
412 HERKIMER STREET,7
412 WEST 56 STREET,1
413 BROADWAY,8
413 BUSHWICK AVENUE,5
413 EAST 114 STREET,7
413 EAST 12 STREET,16
413 EAST 78 STREET,2
413 EAST 87 STREET,2
413 EAST 88 STREET,2
413 WEST 141 STREET,11
413 WEST 23 STREET,13
414 AMSTERDAM AVENUE,12
414 GREENE AVENUE,5
414 MADISON STREET,5
414 RIVERSIDE DRIVE,10
414 STANHOPE STREET,3
414 UNION AVENUE,12
4141 BROADWAY,11
4147 BEDFORD AVENUE,3
415 83 STREET,1
415 ADELPHI STREET,12
415 ARGYLE ROAD,0
415 BUSHWICK AVENUE,5
415 CLASSON AVENUE,6
415 EAST 37 STREET,13
415 EAST 73 STREET,1
415 GREENWICH STREET,20
415 LEFFERTS AVENUE,3
415 MAIN STREET,1
415 SACKETT STREET,6
415 SUYDAM STREET,2
415 WEST 24 STREET,13
416 2 STREET,3
416 LAFAYETTE AVENUE,5
416 LAFAYETTE STREET,13
416 SUYDAM STREET,2
416 VANDERBILT AVENUE,13
416 WEST 52 STREET,10
417 EAST 12 STREET,16
417 GRAND STREET,13
417 OCEAN AVENUE,7
417 THROOP AVENUE,5
417 WEST 120 STREET,9
418 3 STREET,3
418 73 STREET,3
418 CENTRAL PARK WEST,12
418 EAST 59 STREET,4
418 EAST 73 STREET,1
418 EAST 81 STREET,1
418 PUTNAM AVENUE,5
418 WEST 47 STREET,12
419 11 STREET,7
419 7 AVENUE,8
419 86 STREET,3
419 CLASSON AVENUE,6
419 WEST 47 STREET,12
42 91 STREET,3
42 AVENUE A,14
42 DIAMOND STREET,9
42 EAST 12 STREET,14
42 HICKS STREET,20
42 HOWARD AVENUE,2
42 TROUTMAN STREET,5
42 WALKER STREET,17
42 WEST 120 STREET,10
42-01 GREENPOINT AVENUE,4
42-02 21 AVENUE,6
42-04 65 PLACE,9
42-07 25 AVENUE,2
42-08 208 STREET,1
42-09 23 AVENUE,3
42-10 28 AVENUE,1
42-11 28 AVENUE,1
42-15 CRESCENT STREET,6
42-16 23 AVENUE,1
42-18 78 STREET,6
42-22 KETCHAM STREET,7
42-26 81 STREET,8
42-37 27 STREET,5
42-37 UNION STREET,10
42-42 80 STREET,8
42-42 COLDEN STREET,6
42-43 27 STREET,5
42-46 81 STREET,8
42-57 65 PLACE,8
42-60 CRESCENT STREET,6
42-70 156 STREET,3
42-77 HUNTER STREET,5
420 BLEECKER STREET,3
420 CORNELIA STREET,3
420 EAST 102 STREET,9
420 EAST 20 STREET,10
420 EAST 23 STREET,7
420 EAST 54 STREET,5
420 EAST 55 STREET,5
420 EAST 58 STREET,4
420 EAST 61 STREET,4
420 EAST 64 STREET,4
420 EAST 80 STREET,2
420 EAST 86 STREET,2
420 GRAND STREET,3
420 MELROSE STREET,5
420 WEST 25TH STREET,13
421 82 STREET,1
421 FRANKLIN AVENUE,6
421 HUDSON STREET,16
421 HUMBOLDT STREET,12
4219 18 AVENUE,4
422 61 STREET,1
422 7 AVENUE,8
422 EAST 75 STREET,1
422 LEXINGTON AVENUE,5
422 MARION STREET,9
423 11 STREET,7
423 49 STREET,2
423 95 STREET,7
423 EAST 117 STREET,9
423 GRAND STREET,12
423 SMITH STREET,6
423 WEST STREET,15
424 44 STREET,4
424 EAST 10 STREET,9
424 EAST 116 STREET,7
424 EAST 117 STREET,10
424 EAST 75 STREET,1
424 KEAP STREET,13
424 OCEAN VIEW AVENUE,4
424 WEST 57 STREET,2
425 43 STREET,6
425 5 AVENUE,2
425 EAST 13 STREET,14
425 EAST 63 STREET,4
425 EAST 79 STREET,1
425 EAST 96 STREET,3
425 KEAP STREET,13
425 MAIN STREET,4
425 PROSPECT PLACE,9
425 RIVERSIDE DRIVE,8
425 WEST 22 STREET,11
425 WEST 23 STREET,12
425 WEST 24 STREET,13
425 WEST 50 STREET,9
425 WEST 53 STREET,1
426 EASTERN PARKWAY,1
426 WEST BROADWAY,14
427 DEAN STREET,9
427 KINGS HIGHWAY,0
427 WYTHE AVENUE,7
428 3 STREET,3
428 BLEECKER STREET,4
428 PARK PLACE,9
429 3 STREET,2
429 EAST 153 STREET,9
429 EAST 52 STREET,17
429 GREENE AVENUE,6
429 KENT AVENUE,5
429 LENOX AVENUE,14
43 2 AVENUE,14
43 7 AVENUE,4
43 BUSHWICK AVENUE,9
43 COLUMBIA PLACE,18
43 JANE STREET,17
43 MAC DONOUGH STREET,4
43 MASPETH AVENUE,8
43 MOFFAT STREET,5
43 SPRING STREET,13
43 SUTTON STREET,5
43 VERNON AVENUE,5
43 WEST 61 STREET,1
43-01 QUEENS BOULEVARD,7
43-05 47 STREET,9
43-06 63 STREET,11
43-07 39 PLACE,2
43-08 25 AVENUE,0
43-09 43 STREET,7
43-09 47 AVENUE,6
43-09 52 STREET,7
43-10 25 AVENUE,1
43-10 48 AVENUE,3
43-14 212 STREET,2
43-14 28 AVENUE,1
43-15 45 STREET,8
43-16 34 AVENUE,4
43-17 220 STREET,4
43-17 28 AVENUE,1
43-18 39 PLACE,2
43-18 44 STREET,7
43-18 54 STREET,8
43-23 ITHACA STREET,5
43-24 43 STREET,6
43-26 49 STREET,9
43-29 41 STREET,4
43-33 46 STREET,8
43-34 49 STREET,9
43-38 47 STREET,9
43-40 41 STREET,3
43-45 EAST 30 STREET,15
43-70 ROBINSON STREET,5
430 78 STREET,3
430 COLUMBUS AVENUE,2
430 EAST 66 STREET,2
430 GRAND STREET,12
430 WEST 24 STREET,12
430 WEST 34 STREET,9
431 CENTRAL PARK WEST,14
431 CLASSON AVENUE,7
431 EAST 138 STREET,10
431 EAST 6 STREET,14
431 GRAND STREET,13
431 HICKS STREET,13
431 WEST 37 STREET,12
431 WEST 48 STREET,12
432 39 STREET,5
432 WEST 38 STREET,13
432 WEST 52 STREET,11
433 JEFFERSON AVENUE,6
433 WEST 34 STREET,10
433 WEST 45 STREET,12
434 61 STREET,1
434 EAST 115 STREET,7
434 HANCOCK STREET,6
434 JEFFERSON AVENUE,7
434 MANHATTAN AVENUE,13
434 PARK PLACE,9
435 16 STREET,7
435 BLEECKER STREET,4
435 BROADWAY,9
435 EAST 14 STREET,10
435 EAST 76 STREET,2
435 EAST 79 STREET,2
435 EAST 85 STREET,3
435 MARION STREET,9
435 WEST 45 STREET,12
436 15 STREET,8
436 ALBEE SQUARE WEST,12
436 EAST 34 STREET,1
436 EAST 77 STREET,2
436 EAST 88 STREET,2
437 13 STREET,8
437 WEST 43 STREET,10
438 12 STREET,2
438 52 STREET,0
438 58 STREET,1
438 BROOME STREET,17
438 EAST 12 STREET,15
438 GRAND AVENUE,7
438 WILSON AVENUE,6
439 2 STREET,2
439 78 STREET,3
439 82 STREET,1
439 EAST 135 STREET,9
439 LAFAYETTE STREET,14
439 TOMPKINS AVENUE,3
439 WEST 53 STREET,13
44 BENNETT AVENUE,9
44 BUTLER PLACE,9
44 DRIGGS AVENUE,6
44 EAST 12 STREET,13
44 EAST 132 STREET,11
44 EAST 67 STREET,3
44 GARDEN PLACE,20
44 HART STREET,4
44 HENRY STREET,14
44 MERCER STREET,18
44 MESEROLE AVENUE,11
44 RICHARDSON STREET,11
44 ST MARK'S PLACE,13
44 STANHOPE STREET,5
44 WEST 14 STREET,16
44 WEST 56 STREET,2
44 WOODHULL STREET,7
44-01 28 AVENUE,1
44-04 30 AVENUE,2
44-10 25 AVENUE,1
44-14 NEWTOWN ROAD,4
44-15 43 AVENUE,8
44-15 COLDEN STREET,9
44-15 PURVIS STREET,4
44-18 30 AVENUE,2
44-27 PURVES STREET,4
44-28 PURVES STREET,4
44-35 COLDEN STREET,8
44-41 PURVES STREET,4
44-74 21 STREET,9
440 EAST 23 STREET,7
440 EAST 55 STREET,3
440 KENT AVENUE,6
440 RIVERSIDE DRIVE,6
440 SENATOR STREET,2
440 WEST 22 STREET,13
440 WEST 24 STREET,12
440 WILSON AVENUE,6
440-448 NEPTUNE AVENUE,4
4401 4 AVENUE,5
441 BAINBRIDGE STREET,7
441 EAST 57 STREET,4
441 WEST 24 STREET,12
442 3 AVENUE,13
442 DECATUR STREET,6
442 EAST 20 STREET,10
442 EAST 55 STREET,3
442 EAST 78 STREET,1
442 HUMBOLDT STREET,11
442 ST MARK'S AVENUE,8
442 WEST 57 STREET,1
443 CLASSON AVENUE,7
444 AVENUE X,1
444 EAST 78 STREET,2
444 EAST 82 STREET,1
444 EAST 85 STREET,3
444 FRANKLIN AVENUE,6
444 MANHATTAN AVENUE,11
444 WEST 45 STREET,12
445 17 STREET,9
445 36 STREET,5
445 5 AVENUE,13
445 BAY RIDGE AVENUE,3
445 EAST 80 STREET,1
445 GREENE AVENUE,6
445 MEEKER AVENUE,14
445 STATE STREET,11
445 WEST 153 STREET,12
445 WEST 19 STREET,15
445 WEST 23 STREET,12
445 WEST 36 STREET,11
445 WEST 54 STREET,13
445 WEST STREET,16
446 45 STREET,4
446 ATLANTIC AVENUE,10
446 EAST 77 STREET,1
446 EAST 78 STREET,1
446 EAST 88 STREET,2
446 KENT AVENUE,6
446 KINGSTON AVENUE,2
446 SENATOR STREET,3
446 ST JOHN'S PLACE,10
446 WEST 259 STREET,3
446 WEST 49 STREET,11
447 83 STREET,2
447 95 STREET,8
447 EAST 14 STREET,10
447 HUDSON STREET,17
447 MEEKER AVENUE,14
447 WEST 18 STREET,16
448 AMSTERDAM AVENUE,12
448 EAST 53 STREET,2
448 WEST 55 STREET,1
449 7 AVENUE,8
449 EAST 84 STREET,2
449 WEST 24 STREET,13
45 7 AVENUE,3
45 CENTRAL PARK NORTH,12
45 CHRISTOPHER STREET,18
45 CLINTON STREET,12
45 EAST 25 STREET,13
45 EAST 80 STREET,3
45 EAST 89 STREET,3
45 HAVEMEYER STREET,15
45 HINCKLEY PLACE,4
45 MARKET STREET,11
45 OCEAN AVENUE,10
45 ORIENT AVENUE,7
45 PARK AVENUE,12
45 SOUTH 5 STREET,6
45 STATE STREET,20
45 TUDOR CITY PLACE,5
45 WALL STREET,20
45 WEST 132 STREET,14
45 WEST 67 STREET,4
45 WEST 68 STREET,3
45 WHITE STREET,16
45-02 DITMARS BOULEVARD,3
45-02-45-10 41 STREET,3
45-08 40 STREET,2
45-11 25 AVENUE,1
45-14 43 STREET,5
45-15 COLDEN STREET,8
45-19 43 AVENUE,8
45-20 43 STREET,5
45-29 41 STREET,3
45-35 46 STREET,7
45-36 11 STREET,11
45-36 39 PLACE,2
45-39 42 STREET,4
45-53 40 STREET,4
45-54 41 STREET,4
45-56 42 STREET,4
450 7 AVENUE,8
450 EAST 83 STREET,1
450 WEST 17 STREET,16
450 WEST 24 STREET,12
450 WEST 42 STREET,12
4501 SNYDER AVENUE,1
451 WEST 22 STREET,12
452 EAST 29TH STREET,1
452 EAST 84 STREET,2
452 WEST 19 STREET,16
452 WEST 36 STREET,10
453 7 AVENUE,8
453 SACKETT STREET,6
454 63 STREET,2
454 EAST 119 STREET,8
454 HUMBOLDT STREET,13
454 WEST 36 STREET,10
454 WEST 57 STREET,15
454 WEST 58 STREET,13
4540 CENTER BLVD,11
4545 CENTER BOULEVARD,13
455 EAST 86 STREET,2
455 GRAHAM AVENUE,13
455 MAIN STREET,3
455 WEST 20 STREET,13
455 WEST 23 STREET,12
455 WEST 37TH STREET,13
456 BERRY STREET,4
456 GRAND STREET,13
456 QUINCY STREET,6
456 VAN BUREN STREET,3
456 WASHINGTON STREET,13
4568 MANHATTAN COLLEGE PARKWAY,6
457 ATLANTIC AVENUE,10
457 BAY RIDGE PARKWAY,2
457 BROOME STREET,17
457 ONDERDONK AVENUE,2
457 PARK PLACE,8
457 WASHINGTON AVENUE,11
457 WEST 153 STREET,11
457 WEST 57 STREET,13
458 3 STREET,2
458 LORIMER STREET,14
4586 BEDFORD AVENUE,4
459 EAST 135 STREET,7
459 PARK AVENUE SOUTH,15
459 WEST 35 STREET,11
459 WEST 44 STREET,12
46 ALLEN STREET,15
46 DELANCEY STREET,15
46 GRAND STREET,11
46 LISPENARD STREET,18
46 MERCER STREET,18
46 WEST 126 STREET,13
46 WEST 69 STREET,3
46 WEST 73 STREET,20
46-02 30 AVENUE,2
46-06 SKILLMAN AVENUE,9
46-16 NEWTOWN ROAD,4
46-25 SKILLMAN AVENUE,9
46-30 CENTER BOULEVARD,12
460 2 AVENUE,8
460 41 STREET,5
460 CENTRAL AVENUE,6
460 DRIGGS AVENUE,13
460 NEPTUNE AVENUE,6
460 WEST 236 STREET,6
460 WEST 42 STREET,12
4600 9 AVENUE,5
461 CHAUNCEY STREET,8
461 DEAN STREET,9
461 EAST 57 STREET,3
461 HENRY STREET,10
461 LINCOLN PLACE,9
461 WEST 147 STREET,11
4610 CENTER BOULEVARD,12
4611 5 AVENUE,2
4616-4624 CORTELYOU ROAD,1
462 3 STREET,2
462 AMSTERDAM AVENUE,1
462 KEAP STREET,10
463 4 STREET,3
463 PUTNAM AVENUE,5
464 CLINTON AVENUE,10
464 WEST 44 STREET,12
464 WILSON AVENUE,6
465 5 STREET,2
465 EAST 7 STREET,1
465 PARK AVENUE,3
465 WEST 23 STREET,12
466 50 STREET,1
466 BAY RIDGE AVENUE,4
466 LEXINGTON AVENUE,5
466 WEST 166 STREET,9
467 6 AVENUE,12
467 PACIFIC STREET,9
467 TROUTMAN STREET,2
468 EAST 141 STREET,13
468 STATE STREET,11
469 CLINTON AVENUE,7
469 COLUMBUS AVENUE,3
469 HARMAN STREET,2
47 CARROLL STREET,8
47 CATHERINE STREET,15
47 DEAN STREET,9
47 DELANCEY STREET,15
47 MC KEEVER PLACE,5
47 PERRY STREET,15
47 ST NICHOLAS PLACE,11
47 THAMES STREET,4
47 VARICK AVENUE,3
47 WEST 76 STREET,3
47 WEST 85 STREET,2
47-04 30 AVENUE,1
47-05 30 AVENUE,1
47-05 CENTER BLVD,14
47-07 30 AVENUE,1
47-09 5 STREET,14
47-11 44 STREET,6
47-11 DITMARS BOULEVARD,5
47-15 30 AVENUE,1
47-19 45 STREET,5
47-20 42 STREET,4
47-21 NEWTOWN ROAD,3
47-22 41 STREET,4
47-25 215 STREET,4
47-30 48 STREET,5
47-33 39 PLACE,3
47-36 48 STREET,5
47-40 11 STREET,14
47-46 40 STREET,1
47-50 41 STREET,2
47-60 39 PLACE,1
470 6 STREET,2
470 74 STREET,2
470 BERGEN STREET,9
470 LENOX AVENUE,12
470 STATE STREET,11
471 18 STREET,10
471 50 STREET,1
471 77 STREET,3
471 CENTRAL PARK WEST,12
471 KEAP STREET,10
471 WEST 140 STREET,12
4714 7 AVENUE,1
472 CLINTON STREET,7
4720 CENTER BOULEVARD,12
4730 BROADWAY,9
474 9 AVENUE,12
474 HALSEY STREET,5
474 OVINGTON AVENUE,4
475 84 STREET,4
475 COLUMBUS AVENUE,1
475 WEST BROADWAY,18
477 BROOME STREET,15
477 SACKETT STREET,7
478 9 STREET,7
478 CENTRAL PARK WEST,12
478 SMITH STREET,7
479 1 AVENUE,8
479 12 STREET,7
479 FLATBUSH AVENUE,11
479 WEST 152 STREET,11
4791 BROADWAY,11
48 3 AVENUE,12
48 MORGAN AVENUE,4
48 POST AVENUE,9
48 ST NICHOLAS PLACE,12
48 WEST 138 STREET,11
48 WEST 87 STREET,2
48-15 11TH STREET,12
48-15 30 AVENUE,1
48-16 30 AVENUE,1
48-16 46 STREET,4
48-20 48 STREET,4
48-23 42 STREET,2
48-24 48 STREET,4
48-30 40TH STREET,1
48-31 43 STREET,3
48-36 44 STREET,3
48-40 48 STREET,4
48-42 41 STREET,1
48-50 37 STREET,1
48-50 38 STREET,1
48-50 41 STREET,1
48-53 45 STREET,3
48-84 37 STREET,1
480 2 AVENUE,8
480 5 AVENUE,6
480 CENTRAL PARK WEST,10
480 HUMBOLDT STREET,10
480 WARREN STREET,6
4803 6 AVENUE,1
481 12 STREET,8
481 7 AVENUE,8
481 COLUMBUS AVENUE,2
481 WASHINGTON STREET,14
4815 4 AVENUE,3
482 EAST 74 STREET,1
482 WEST BROADWAY,18
4820 4 AVENUE,3
483 12 STREET,7
483 ATLANTIC AVENUE,11
483 COLUMBUS AVENUE,2
483 GRANDVIEW AVENUE,1
484 2 AVENUE,8
484 9 AVENUE,14
484 HANCOCK STREET,5
484 HUMBOLDT STREET,12
485 EAST 21 STREET,1
485 PACIFIC STREET,10
4857 BROADWAY,12
486 4 AVENUE,3
486 BROOKLYN AVENUE,3
4861 BROADWAY,13
487 CLIFTON AVENUE,6
487 KEAP STREET,11
487 SENECA AVENUE,3
488 3 AVENUE,4
488 7 AVENUE,10
488A 7 AVENUE,8
489 3 AVENUE,4
489 BROADWAY,16
489 CHAUNCEY STREET,7
489 EAST 140 STREET,13
489 MYRTLE AVENUE,8
489 WEST END AVENUE,9
49 ARLO ROAD,1
49 CLARKSON AVENUE,5
49 GROVE STREET,17
49 JANE STREET,17
49 WEST 19 STREET,14
49-14 21 AVENUE,4
49-15 SKILLMAN AVENUE,9
490 2 AVENUE,8
490 EAST 189 STREET,12
490 HALSEY STREET,4
490 HUMBOLDT STREET,3
490 PUTNAM AVENUE,5
490A 7 AVENUE,8
4914 4 AVENUE,3
492 3 STREET,2
492 9 AVENUE,13
492 HENRY STREET,7
492 LEFFERTS AVENUE,3
493 CLINTON AVENUE,7
494 PROSPECT PLACE,7
494 SENECA AVENUE,4
495 EAST 7 STREET,1
495 HENRY STREET,9
496 COURT STREET,8
496 VAN BUREN STREET,2
499 EAST 156 STREET,10
499 VANDERBILT AVENUE,9
5 COMMERCE STREET,3
5 CORNELIA STREET,15
5 DELEVAN STREET,7
5 EAST 22 STREET,9
5 EAST 44 STREET,3
5 EAST 86 STREET,2
5 FRANKLIN PLACE,17
5 HANOVER SQUARE,20
5 LINDEN BOULEVARD,6
5 MINERVA PLACE,8
5 PETER COOPER ROAD,7
5 TUDOR CITY PLACE,3
5 WEST 102 STREET,12
5 WEST 15 STREET,4
5 WEST 86 STREET,2
5-09 48 AVENUE,13
5-11 47 AVENUE,14
5-26 51 AVENUE,14
5-35 51 AVENUE,15
5-49 BORDEN AVENUE,12
50 AVENUE B,13
50 BATTERY PLACE,20
50 BAYARD STREET,17
50 BRIDGE STREET,10
50 BUSHWICK AVENUE,9
50 EAST 129 STREET,15
50 EAST 18 STREET,7
